No,Name,Pos,Status,Height,Inches,Random,Weight,Birthdate,Exp,College,Team
57,"Walker, DeMarcus",DE,ACT,"6'4""",76,0.968882064,280,9/30/1994,3,Florida State,DEN
45,"Johnson, A.J.",LB,ACT,"6'2""",74,0.968827294,255,12/24/1991,2,Tennessee,DEN
14,"Byrd, Damiere",WR,ACT,"5'9""",69,0.968796197,180,1/27/1993,4,South Carolina,ARI
81,"Warring, Kahale",TE,ACT,"6'5""",77,0.968719832,250,3/23/1997,0,San Diego State,HOU
25,"Moreland, Jimmy",CB,ACT,"5'11""",71,0.96844782,182,8/26/1995,0,James Madison,WAS
73,"Camper, Blake",OT,ACT,"6'8""",80,0.967956705,314,12/17/1996,0,South Carolina,LAC
85,"Howard, Bug",TE,ACT,"6'5""",77,0.967714651,210,11/28/1994,1,North Carolina,DEN
16,"O'Donnell, Pat",P,ACT,"6'4""",76,0.966905065,217,2/22/1991,6,Miami (Fla.),CHI
41,"Bethea, Antoine",FS,ACT,"5'11""",71,0.966647702,201,7/27/1984,14,Howard,NYG
31,"Marlowe, Dean",SS,ACT,"6'1""",73,0.966538476,208,7/25/1992,3,James Madison,BUF
94,"Johnson, Austin",NT,ACT,"6'4""",76,0.965746984,314,5/8/1994,4,Penn State,TEN
87,"Kelce, Travis",TE,ACT,"6'5""",77,0.964922176,260,10/5/1989,7,Cincinnati,KC
69,"Henry, Willie",DT,ACT,"6'3""",75,0.964859391,288,3/20/1994,4,Michigan,BAL
19,"Tate, Auden",WR,ACT,"6'5""",77,0.96404353,228,2/3/1997,2,Florida State,CIN
10,"Switzer, Ryan",WR,ACT,"5'8""",68,0.963582011,185,11/4/1994,3,North Carolina,PIT
28,"Nichols, Deatrick",CB,ACT,"5'10""",70,0.963340999,189,6/8/1994,2,South Florida,ARI
12,"Sanu, Mohamed",WR,ACT,"6'2""",74,0.963074302,210,8/22/1989,8,Rutgers,ATL
38,"Duck, Clifton",DB,ACT,"5'10""",70,0.962975293,170,5/3/1998,0,Appalachian State,CHI
33,"Wreh-Wilson, Blidi",DB,ACT,"6'1""",73,0.962932253,190,12/5/1989,7,Connecticut,ATL
40,"Ware, Spencer",RB,PUP,"5'10""",70,0.962879041,224,11/23/1991,6,LSU,IND
5,"Barkley, Matt",QB,ACT,"6'2""",74,0.962747989,234,9/8/1990,7,USC,BUF
63,"Jones, Tyler",OG,ACT,"6'3""",75,0.961938306,306,10/27/1995,0,North Carolina State,NYJ
24,"Meeks, Quenton",CB,ACT,"6'1""",73,0.961488778,209,6/20/1996,2,Stanford,JAX
19,"Cooper, Amari",WR,ACT,"6'1""",73,0.961454547,225,6/17/1994,5,Alabama,DAL
70,"Nelson, Chris",DT,ACT,"6'1""",73,0.961307588,315,//,0,Texas,TEN
66,"Toran, Najee",OG,ACT,"6'2""",74,0.961208428,305,11/15/1995,1,UCLA,SF
87,"Niklas, Troy",TE,RES,"6'6""",78,0.961025195,270,9/18/1992,5,Notre Dame,TB
7,"Allen, Kyle",QB,ACT,"6'3""",75,0.960699579,210,3/8/1996,1,Houston,CAR
79,"Simon, Deon",DT,ACT,"6'4""",76,0.960359326,332,7/6/1990,2,Northwestern State-Louisiana,GB
31,"Phillips, Adrian",DB,ACT,"5'11""",71,0.959875567,210,3/28/1992,5,Texas,LAC
40,"Cannon, Trenton",RB,ACT,"5'11""",71,0.959433172,185,7/23/1994,2,Virginia State,NYJ
76,"Daniels, Mike",DE,ACT,"6'0""",72,0.959387009,310,5/5/1989,8,Iowa,DET
93,"Banfield, Daryle",DT,ACT,"6'3""",75,0.95895719,300,12/10/1997,0,Brown,CHI
72,"de Beer, Gerhard",OT,ACT,"6'6""",78,0.958628451,312,7/5/1994,1,Arizona,GB
93,"Barrett, Alex",DE,ACT,"6'2""",74,0.95849069,250,3/6/1994,1,San Diego State,OAK
22,"Davis, Cody",DB,ACT,"6'2""",74,0.95830837,203,6/6/1989,7,Texas Tech,JAX
75,"Wetzel, John",OG,ACT,"6'7""",79,0.958042524,328,7/18/1991,4,Boston College,ATL
78,"Kelly, Ryan",C,ACT,"6'4""",76,0.958026103,307,5/30/1993,4,Alabama,IND
23,"Fuller, Kyle",CB,ACT,"5'11""",71,0.957944213,190,2/16/1992,6,Virginia Tech,CHI
50,"Branch, Andre",LB,ACT,"6'5""",77,0.957890754,263,7/14/1989,8,Clemson,ARI
,"Bromley, Jay",DT,ACT,"6'3""",75,0.957254564,314,5/28/1992,6,Syracuse,SF
68,"Walker, Ricky",DT,ACT,"6'2""",74,0.957057571,295,4/18/1996,0,Virginia Tech,DAL
69,"Knight, Brandon",OT,ACT,"6'4""",76,0.956654652,310,4/1/1997,0,Indiana,DAL
55,"Day, Dillon",C,ACT,"6'4""",76,0.956359668,296,10/17/1991,1,Mississippi State,SF
21,"Ward, Denzel",CB,ACT,"5'11""",71,0.956089852,190,4/28/1997,2,Ohio State,CLE
23,"Moore, Kenny",CB,ACT,"5'9""",69,0.956037466,190,8/23/1995,3,Valdosta State,IND
61,"Johnson, Wesley",C,ACT,"6'5""",77,0.95598593,305,1/9/1991,6,Vanderbilt,SF
72,"Howard, Reggie",DT,ACT,"6'3""",75,0.955754308,290,3/26/1996,0,Toledo,LAC
12,"McCoy, Colt",QB,ACT,"6'1""",73,0.955705049,212,9/5/1986,10,Texas,WAS
23,"Thompson, Darian",DB,ACT,"6'2""",74,0.954865224,212,9/22/1993,4,Boise State,DAL
85,"Myarick, Chris",TE,ACT,"6'5""",77,0.954833214,255,10/6/1995,0,Temple,MIA
80,"Stocker, Luke",TE,ACT,"6'5""",77,0.954642573,253,7/17/1988,9,Tennessee,ATL
70,"Dugas, O'Shea",OG,ACT,"6'4""",76,0.952676902,335,9/22/1996,0,Louisiana Tech,CIN
15,"Fuller, Will",WR,ACT,"6'0""",72,0.952568105,184,4/16/1994,4,Notre Dame,HOU
41,"Askew-Henry, Dravon",DB,ACT,"6'0""",72,0.952058567,202,10/24/1995,0,West Virginia,PIT
38,"Williams, Tramon",CB,ACT,"5'11""",71,0.951354816,191,3/16/1983,13,Louisiana Tech,GB
66,"Simmons, Jordan",OG,ACT,"6'4""",76,0.95075524,339,7/15/1994,2,USC,SEA
10,"Shepherd, Darrius",WR,ACT,"5'11""",71,0.950690547,186,11/1/1995,0,North Dakota State,GB
40,"Holba, Colin",LS,ACT,"6'4""",76,0.950667961,255,7/8/1994,2,Louisville,SF
22,"Everett, Deshazor",DB,ACT,"6'0""",72,0.950617961,203,2/22/1992,5,Texas A&M,WAS
43,"Harris, Will",DB,ACT,"6'1""",73,0.95019356,207,12/19/1995,0,Boston College,DET
66,"Jensen, Ryan",C,ACT,"6'4""",76,0.95004405,319,5/27/1991,6,Colorado State-Pueblo,TB
23,"Lattimore, Marshon",CB,ACT,"6'0""",72,0.950043862,192,5/20/1996,3,Ohio State,NO
39,"Sullivan, Chandon",DB,ACT,"5'11""",71,0.949967718,189,8/7/1996,2,Georgia State,GB
40,"Brown, Kyron",CB,ACT,"6'1""",73,0.949895375,195,5/26/1996,0,Akron,NYJ
79,"Adams, Paul",OT,ACT,"6'6""",78,0.949580388,315,5/17/1995,0,Missouri,NYG
88,"Goedert, Dallas",TE,ACT,"6'5""",77,0.949236834,256,1/3/1995,2,South Dakota State,PHI
32,"Wilson, Tavon",DB,ACT,"6'0""",72,0.949227745,212,3/19/1990,8,Illinois,DET
59,"Walker, Joe",LB,ACT,"6'2""",74,0.949183017,236,12/11/1992,4,Oregon,ARI
83,"Gage, Russell",WR,ACT,"6'0""",72,0.949166603,184,1/22/1996,2,LSU,ATL
94,"Payne, Daron",NT,ACT,"6'3""",75,0.94877913,320,5/27/1997,2,Alabama,WAS
89,"Smith, Kaden",TE,ACT,"6'5""",77,0.948395046,249,4/24/1997,0,Stanford,SF
68,"Brumfield, Garrett",OG,ACT,"6'4""",76,0.947881439,302,6/23/1996,0,LSU,PIT
8,"Cousins, Kirk",QB,ACT,"6'3""",75,0.947346262,202,8/19/1988,8,Michigan State,MIN
96,"Taylor, Vincent",DT,ACT,"6'3""",75,0.947114449,311,1/5/1994,3,Oklahoma State,MIA
6,"Benkert, Kurt",QB,ACT,"6'4""",76,0.946850058,215,7/17/1995,1,Virginia,ATL
87,"Shepard, Sterling",WR,ACT,"5'10""",70,0.946692037,196,2/10/1993,4,Oklahoma,NYG
70,"Holcomb, Ruben",OT,ACT,"6'4""",76,0.945854397,309,11/25/1994,1,Indianapolis,TB
22,"Thornhill, Juan",CB,ACT,"6'0""",72,0.94577347,205,10/19/1995,0,Virginia,KC
67,"Winters, Brian",OG,ACT,"6'4""",76,0.945488374,320,7/10/1991,7,Kent State,NYJ
88,"Redding, Teo",WR,ACT,"6'1""",73,0.945232307,176,12/8/1994,1,Bowling Green State,GB
97,"Hood, Ziggy",DT,ACT,"6'3""",75,0.945214723,305,2/16/1987,11,Missouri,NO
10,"Jackson, DeSean",WR,ACT,"5'10""",70,0.945142925,175,12/1/1986,12,California,PHI
3,"Hopkins, Dustin",K,ACT,"6'2""",74,0.944633578,205,10/1/1990,6,Florida State,WAS
40,"Moore, Nick",LS,ACT,"6'3""",75,0.944617025,250,12/9/1992,0,Georgia,NO
52,"Robertson, Craig",LB,ACT,"6'1""",73,0.943260616,234,2/11/1988,8,North Texas,NO
43,"Reddick, Haason",OLB,ACT,"6'1""",73,0.942729128,235,9/22/1994,3,Temple,ARI
92,"Davenport, Marcus",DE,ACT,"6'6""",78,0.941811435,265,9/4/1996,2,Texas-San Antonio,NO
37,"Allen, Javorius",RB,RES,"6'0""",72,0.941481937,218,8/27/1991,5,USC,NO
97,"Zettel, Anthony",DE,ACT,"6'4""",76,0.941359285,275,8/9/1992,4,Penn State,CLE
5,"Christion, Taryn",QB,ACT,"6'2""",74,0.941089716,225,//,0,South Dakota State,DAL
74,"Pope, Ryan",OT,ACT,"6'7""",79,0.9407248,320,10/17/1996,0,San Diego State,DET
29,"Hooker, Malik",FS,ACT,"6'1""",73,0.940448981,214,4/2/1996,3,Ohio State,IND
37,"Love, Julian",CB,ACT,"5'11""",71,0.940387006,195,3/19/1998,0,Notre Dame,NYG
9,"Willis, Damion",WR,ACT,"6'3""",75,0.940266164,204,6/20/1997,0,Troy,CIN
35,"Campbell, Tevaughn",DB,ACT,"6'0""",72,0.939197495,200,6/14/1993,1,Regina (Canada),NYJ
39,"Barnes, Alex",RB,ACT,"6'0""",72,0.938187975,226,10/27/1996,0,Kansas State,TEN
1,"Hart, Penny",WR,ACT,"5'8""",68,0.93805133,182,7/5/1996,0,Georgia State,IND
24,"Awuzie, Chidobe",CB,ACT,"6'0""",72,0.937576781,203,5/24/1995,3,Colorado,DAL
49,"Tranquill, Drue",LB,ACT,"6'2""",74,0.937397474,228,8/15/1995,0,Notre Dame,LAC
91,"Tuitt, Stephon",DE,ACT,"6'6""",78,0.937312375,303,5/23/1993,6,Notre Dame,PIT
56,"Nunez-Roches, Rakeem",DT,ACT,"6'2""",74,0.937033695,307,7/3/1993,5,Southern Mississippi,TB
34,"Verrett, Jason",DB,ACT,"5'10""",70,0.937012923,188,6/18/1991,6,Texas Christian,SF
,"Cole, Tariq",OG,ACT,"6'6""",78,0.936955653,317,2/9/1996,0,Rutgers,DAL
97,"Phillips, Jordan",DT,ACT,"6'6""",78,0.936488916,341,9/21/1992,5,Oklahoma,BUF
55,"Hughes, Jerry",DE,ACT,"6'2""",74,0.936081726,254,8/13/1988,10,Texas Christian,BUF
4,"Bullock, Randy",K,ACT,"5'9""",69,0.935928099,210,12/16/1989,8,Texas A&M,CIN
79,"Steinmetz, David",OT,ACT,"6'8""",80,0.935595927,321,3/1/1995,1,Purdue,HOU
76,"Saffold, Rodger",OG,ACT,"6'5""",77,0.935430633,323,6/6/1988,10,Indiana,TEN
69,"Good, Denzelle",OT,ACT,"6'5""",77,0.934580894,340,3/8/1991,5,Mars Hill,OAK
86,"Henry, Hunter",TE,ACT,"6'5""",77,0.934408109,250,12/7/1994,4,Arkansas,LAC
94,"Floyd, Leonard",OLB,ACT,"6'4""",76,0.933960169,251,9/8/1992,4,Georgia,CHI
32,"Douglas, Rasul",CB,ACT,"6'2""",74,0.933908811,209,8/29/1995,3,West Virginia,PHI
92,"Mebane, Brandon",DT,ACT,"6'1""",73,0.933772022,311,1/15/1985,13,California,LAC
46,"Swoopes, Tyrone",TE,CUT,"6'4""",76,0.933495263,254,11/14/1994,1,Texas,SEA
9,"Kizer, DeShone",QB,ACT,"6'4""",76,0.933140069,235,1/3/1996,3,Notre Dame,GB
20,"Amukamara, Prince",CB,ACT,"6'0""",72,0.932420723,204,6/6/1989,9,Nebraska,CHI
61,"Webb, J'Marcus",OT,ACT,"6'7""",79,0.931957543,320,8/8/1988,7,West Texas A&M,IND
39,"Bonds, Terrell",DB,ACT,"5'8""",68,0.93142516,182,7/22/1996,0,Tennessee State,BAL
64,"Bars, Alex",OT,ACT,"6'6""",78,0.93114684,312,9/8/1995,0,Notre Dame,CHI
49,"Boehringer, Moritz",TE,ACT,"6'5""",77,0.931141829,250,10/16/1993,1,Unknown,CIN
41,"Wilson, Jeff",RB,ACT,"6'0""",72,0.930962693,213,11/16/1995,2,North Texas,SF
17,"Anderson, Ryan",LB,ACT,"6'2""",74,0.930953071,255,8/12/1994,3,Alabama,WAS
73,"Akinmoladun, Freedom",DE,ACT,"6'3""",75,0.930683219,286,2/11/1996,0,Nebraska,NYG
43,"Towbridge, Keith",TE,ACT,"6'5""",77,0.930619899,262,5/21/1995,2,Louisville,BUF
79,"Qvale, Brent",OT,ACT,"6'7""",79,0.930482371,315,3/11/1991,5,Nebraska,NYJ
29,"Richards, Jeff",DB,ACT,"6'2""",74,0.930223297,210,1/3/1991,2,Emporia State,LAC
17,"Peake, Charone",WR,ACT,"6'2""",74,0.930210641,209,10/16/1992,4,Clemson,NYJ
98,"Brown, Fadol",DE,ACT,"6'4""",76,0.929578581,282,4/15/1993,2,Mississippi,GB
92,"Williams, Leonard",DE,ACT,"6'5""",77,0.92950805,302,6/20/1994,5,USC,NYJ
91,"Marsh, Cassius",DE,ACT,"6'4""",76,0.929491165,254,7/7/1992,6,UCLA,SEA
66,"Vahe, Patrick",OG,ACT,"6'2""",74,0.928828543,324,4/3/1996,0,Texas,BAL
95,"Odenigbo, Ifeadi",DE,ACT,"6'3""",75,0.92863017,258,4/8/1994,2,Northwestern,MIN
92,"Hunt, Margus",DE,ACT,"6'8""",80,0.92814208,295,7/14/1987,7,Southern Methodist,IND
7,"Hundley, Brett",QB,ACT,"6'3""",75,0.927868676,226,6/15/1993,5,UCLA,ARI
54,"Wagner, Bobby",MLB,ACT,"6'0""",72,0.92755017,242,6/27/1990,8,Utah State,SEA
92,"Armstrong, Dorance",DE,ACT,"6'4""",76,0.927183606,262,6/10/1997,2,Kansas,DAL
1,"Sills, David",WR,ACT,"6'3""",75,0.927031432,211,5/29/1996,0,West Virginia,BUF
14,"Metcalf, D.K.",WR,ACT,"6'4""",76,0.926386885,229,12/14/1997,0,Mississippi,SEA
47,"Conrad, C.J.",TE,ACT,"6'4""",76,0.926036023,248,5/9/1996,0,Kentucky,NYG
51,"Attaochu, Jeremiah",LB,ACT,"6'3""",75,0.926013319,252,1/17/1993,6,Georgia Tech,KC
78,"Martin, Wes",OG,ACT,"6'3""",75,0.925528159,315,5/9/1996,0,Indiana,WAS
71,"Garcia-Williams, Jamell",DE,ACT,"6'8""",80,0.925452433,260,1/24/1997,0,Alabama-Birmingham,SF
76,"Woodard, Jonathan",DE,ACT,"6'5""",77,0.925087379,271,9/19/1993,2,Central Arkansas,MIA
41,"Henderson, Trayvon",DB,ACT,"6'0""",72,0.925070065,205,8/15/1995,2,Hawaii,CIN
6,"Murray, Nyqwan",WR,ACT,"5'10""",70,0.925034371,193,7/28/1997,0,Florida State,SEA
90,"Bryan, Taven",DT,ACT,"6'5""",77,0.924728828,291,3/11/1996,2,Florida,JAX
15,"Ursua, John",WR,ACT,"5'9""",69,0.924693617,182,1/17/1994,0,Hawaii,SEA
70,"Ross, D'Angelo",CB,ACT,"5'9""",69,0.924571534,190,10/29/1996,0,New Mexico,NE
46,"Cox, Morgan",LS,ACT,"6'4""",76,0.924339952,235,4/26/1986,10,Tennessee,BAL
50,"Morrow, Nicholas",LB,ACT,"6'0""",72,0.924268289,224,7/10/1995,3,Greenville College,OAK
90,"Stubbs, Anthony",LB,ACT,"6'0""",72,0.923921368,220,8/9/1996,0,Prairie View A&M,CLE
79,"Stanley, Ronnie",OT,ACT,"6'6""",78,0.923894018,315,3/18/1994,4,Notre Dame,BAL
51,"Williams, Joejuan",CB,ACT,"6'3""",75,0.923781591,212,12/6/1997,0,Vanderbilt,NE
88,"McBride, Tre",WR,ACT,"6'0""",72,0.923428604,210,12/1/1992,4,William & Mary,JAX
10,"Strong, Jaelen",WR,ACT,"6'2""",74,0.923346381,220,1/25/1994,4,Arizona State,CLE
23,"Alexander, Jaire",CB,ACT,"5'10""",70,0.922750099,196,2/9/1997,2,Louisville,GB
20,"Durden, Kenneth",DB,ACT,"6'1""",73,0.922679103,180,5/16/1992,2,Youngstown State,TEN
